Model,MAE,RMSE,R2
Linear Regression,1.2143821302081712e-13,2.0768071830660092e-13,1.0
Decision Tree,43.015151515151516,83.28274221899248,0.99462176930472
Random Forest,33.88424242424244,79.84156364230658,0.9950570358425579
