batter,runs_batter,wicket_taken,boundary,balls,strike_rate,fantasy_points,batter_encoded,predicted_points
Q de Kock,1349,56,183,939,143.66347177848775,3481,213,3461.0
R Ashwin,336,26,38,266,126.3157894736842,1138,214,1085.7
R Dhawan,54,3,8,37,145.94594594594594,161,215,157.9
R Minz,3,1,0,8,37.5,28,216,27.72
R Parag,820,44,105,571,143.6077057793345,2340,217,2324.16
R Powell,276,20,37,191,144.5026178010471,924,218,888.52
R Ravindra,242,9,35,150,161.33333333333331,607,219,611.14
R Sai Kishore,7,1,1,5,140.0,36,220,36.18
R Sanjay Yadav,0,1,0,2,0.0,25,221,25.0
R Shepherd,81,6,11,53,152.83018867924528,275,222,275.06
R Tewatia,692,36,91,506,136.75889328063244,1956,223,1966.92
RA Bawa,9,2,1,10,90.0,63,224,62.88
RA Jadeja,810,32,99,581,139.41480206540447,2006,225,1998.36
RA Tripathi,1217,55,174,815,149.32515337423314,3288,226,3289.34
RD Chahar,106,14,15,87,121.83908045977012,516,227,489.9
RD Gaikwad,1926,57,261,1291,149.18667699457785,4395,228,4386.1
RD Rickelton,9,1,2,5,180.0,42,229,42.16
RG Sharma,1437,71,212,1009,142.41823587710604,4060,230,3899.22
RJ Gleeson,2,0,0,2,100.0,2,231,1.86
RJW Topley,3,0,0,5,60.0,3,232,3.0
RK Bhui,2,2,0,8,25.0,52,233,52.64
RK Singh,655,24,85,441,148.52607709750566,1595,234,1648.96
RM Patidar,647,25,87,411,157.42092457420924,1620,235,1654.02
RP Meredith,0,1,0,2,0.0,25,236,25.0
RR Pant,1192,48,163,871,136.85419058553387,3044,237,3046.54
RR Rossouw,337,15,51,204,165.19607843137254,916,238,903.98
RV Patel,64,5,6,55,116.36363636363636,213,239,201.68
RV Uthappa,415,27,55,309,134.30420711974108,1310,240,1309.08
Rahmanullah Gurbaz,263,13,40,163,161.34969325153375,748,241,745.34
Ramandeep Singh,148,6,19,89,166.2921348314607,374,242,387.14
Rashid Khan,346,25,49,221,156.5610859728507,1167,243,1100.42
Rasikh Salam,29,5,4,29,100.0,170,244,162.86
Ravi Bishnoi,30,8,2,42,71.42857142857143,238,245,250.0
S Dhawan,1749,56,251,1221,143.24324324324326,4153,246,4193.2
S Dube,1142,47,149,784,145.66326530612247,2913,247,2896.16
S Gopal,41,5,4,42,97.61904761904762,182,248,178.86
S Kaul,7,0,1,6,116.66666666666667,11,249,11.86
S Nadeem,6,2,1,7,85.71428571428571,60,250,60.46
SA Abbott,7,1,1,5,140.0,36,251,36.18
SA Yadav,1614,56,244,997,161.88565697091272,3990,252,4009.24
SB Dubey,53,2,8,28,189.28571428571428,135,253,112.76
SD Hope,138,8,18,89,155.0561797752809,410,254,403.48
SE Rutherford,61,4,7,57,107.01754385964912,189,255,192.52
SH Johnson,7,0,1,8,87.5,11,256,11.64
SK Raina,136,7,19,98,138.77551020408163,387,257,392.3
SM Curran,665,33,84,475,140.0,1826,258,1801.76
SN Khan,140,11,17,123,113.8211382113821,483,259,467.74
SN Thakur,220,20,27,167,131.73652694610777,828,260,800.48
SO Hetmyer,927,36,120,607,152.7182866556837,2307,261,2285.02
SP Goswami,0,2,0,4,0.0,50,262,50.74
SP Jackson,19,4,1,21,90.47619047619048,123,263,123.52
SP Narine,660,45,105,417,158.27338129496403,2205,264,2120.9
SPD Smith,372,19,47,286,130.06993006993005,1035,265,1091.64
SR Watson,245,10,38,178,137.64044943820224,647,266,678.48
SS Cottrell,0,1,0,2,0.0,25,267,25.0
SS Iyer,1206,44,152,880,137.04545454545453,2914,268,2957.72
SS Prabhudessai,110,9,14,89,123.59550561797752,391,269,399.1
SS Tiwary,176,7,21,129,136.43410852713177,435,270,436.24
SV Samson,1789,64,248,1158,154.49050086355786,4381,271,4308.24
SW Billings,149,7,17,116,128.44827586206898,392,272,406.54
SZ Mulani,1,0,0,1,100.0,1,273,0.98
Sachin Baby,5,1,0,10,50.0,30,274,30.78
Sameer Rizvi,39,5,5,33,118.18181818181819,184,275,179.48
Sandeep Sharma,18,2,2,22,81.81818181818183,76,276,76.38
Sanvir Singh,21,2,3,16,131.25,83,277,83.1
Saurav Chauhan,17,3,2,15,113.33333333333333,100,278,99.98
Shahbaz Ahmed,447,30,49,366,122.13114754098359,1393,279,1401.14
Shakib Al Hasan,35,5,4,37,94.5945945945946,176,280,174.18
Shashank Singh,350,11,50,213,164.31924882629107,825,281,894.4
Shivam Mavi,31,6,4,36,86.11111111111111,197,282,206.86
Shivam Singh,2,0,0,3,66.66666666666666,2,283,2.0
Shubman Gill,2149,73,284,1490,144.22818791946307,5110,284,4685.3
Sikandar Raza,155,7,18,116,133.6206896551724,402,285,409.2
Simarjeet Singh,6,1,0,7,85.71428571428571,31,286,33.02
Sumit Kumar,14,2,2,20,70.0,72,287,68.9
Swapnil Singh,34,2,5,22,154.54545454545453,104,288,97.78
T Banton,16,2,2,15,106.66666666666667,74,289,72.54
T Kohler-Cadmore,38,3,6,33,115.15151515151516,137,290,155.0
T Natarajan,2,0,0,4,50.0,2,291,2.04
T Shamsi,2,0,0,3,66.66666666666666,2,292,2.0
T Stubbs,305,10,37,197,154.8223350253807,703,293,733.36
TA Boult,57,6,5,55,103.63636363636364,227,294,256.26
TG Southee,5,5,0,14,35.714285714285715,130,295,122.94
TH David,472,23,62,304,155.26315789473685,1295,296,1318.64
TK Curran,79,2,8,60,131.66666666666666,161,297,151.78
TL Seifert,18,3,2,19,94.73684210526315,101,298,101.96
TM Head,459,15,75,254,180.70866141732282,1134,299,1132.64
TS Mills,0,1,0,3,0.0,25,300,25.06
TU Deshpande,20,1,3,14,142.85714285714286,57,301,59.94
Tanush Kotian,22,1,3,21,104.76190476190477,59,302,63.24
Tilak Varma,974,29,132,637,152.90423861852435,2227,303,2244.42
UT Yadav,73,8,9,60,121.66666666666666,309,304,304.26
Umran Malik,23,1,3,14,164.28571428571428,60,305,63.68
V Kohli,2084,66,263,1469,141.8652144315861,4786,306,4684.8
V Nigam,28,1,5,11,254.54545454545453,73,307,72.94
V Shankar,419,26,51,341,122.87390029325513,1273,308,1295.88
V Viyaskanth,6,0,0,4,150.0,6,309,6.22
VG Arora,9,2,0,15,60.0,59,310,60.26
VR Aaron,1,1,0,4,25.0,26,311,26.1
VR Iyer,1082,44,150,737,146.81139755766623,2782,312,2789.84
Vijaykumar Vyshak,12,2,1,11,109.09090909090908,66,313,65.26
Virat Singh,12,3,1,20,60.0,91,314,93.66
Vishnu Vinod,34,3,4,28,121.42857142857142,125,315,125.2
Vivrant Sharma,52,1,8,36,144.44444444444443,109,316,110.7
WD Parnell,1,1,0,4,25.0,26,317,26.1
WG Jacks,190,7,29,110,172.72727272727272,481,318,479.06
WP Saha,923,45,132,699,132.04577968526468,2576,319,2526.18
Washington Sundar,236,21,27,210,112.38095238095238,869,320,853.02
YBK Jaiswal,1231,50,195,786,156.61577608142494,3261,321,3264.88
YS Chahal,14,2,0,27,51.85185185185185,64,322,65.28
YV Dhull,13,3,1,18,72.22222222222221,92,323,93.94
Yash Dayal,0,1,0,1,0.0,25,324,25.0
Yudhvir Singh,22,4,3,14,157.14285714285714,134,325,132.14
